experiment	ndata	bias/variance
NMC	325	0.457192184889374
SLAC	67	0.30963896006800445
BCDMS	581	0.40594158336318376
CHORUS	832	0.40057082550212336
NTVDMN	76	0.41367033551451005
HERACOMB	1145	0.8631931401780161
HERAF2CHARM	37	2.6724225375400206
F2BOTTOM	29	1.2823462122501803
DYE886	104	0.40258265669732324
DYE605	85	0.8291166965400567
CDF	105	0.5607260143042744
D0	45	0.5860277091276861
ATLAS	360	0.6040184078243124
CMS	409	0.5855716432605347
LHCb	85	0.5345643645691983
Total	4285	0.5477728351720381
