flavour	expected $\xi_{1\sigma}$
$\Sigma$	0.8107668510425113
gluon	0.7089771054638003
V	0.7568002143361847
V3	0.7468433886871563
V8	0.7972187622718124
T3	0.9164779889353049
T8	0.642663575468159
Total	0.7828434299331664
