flavour	sqrt bias/variance
$\Sigma$	0.7617010407405372
gluon	0.9470770287914629
V	0.8568787853534813
V3	0.875108235860583
V8	0.785134195848533
T3	0.5778321806843661
T8	1.0864223485427364
Total	0.8102911164550128
