flavour	Measured $\xi_{1\sigma}$	expected $\xi_{1\sigma}$
$\Sigma$	0.7833333333333333	0.8107668510425113
gluon	0.6777777777777777	0.7089771054638003
V	0.7611111111111111	0.7568002143361847
V3	0.6888888888888888	0.7468433886871563
V8	0.8000000000000002	0.7972187622718124
T3	0.9055555555555556	0.9164779889353049
T8	0.6	0.642663575468159
Total	0.7888888888888889	0.7828434299331664
