flavour	bias/variance
$\Sigma$	0.5801884754652176
gluon	0.8969548984644655
V	0.7342412527888574
V3	0.7658144244710218
V8	0.6164357054907226
T3	0.33389002903445
T8	1.180313519413115
Total	0.6565716934059113
