flavour	bootstrap mean $\xi_{1\sigma}$	bootstrap std. $\xi_{1\sigma}$
$\Sigma$	0.7344999999999997	0.03484684302968926
gluon	0.5906944444444444	0.02791528465346449
V	0.648486111111111	0.04909838911076009
V3	0.722111111111111	0.033948990421178715
V8	0.763194444444444	0.03796191845898228
T3	0.882805555555556	0.021009238855416692
T8	0.3832777777777778	0.031025999650631537
Total	0.6750099206349204	0.018957860916260623
