flavour	bootstrap mean $\xi_{1\sigma}$	bootstrap std. $\xi_{1\sigma}$
$\Sigma$	0.7423611111111111	0.04118682030293998
gluon	0.5696111111111111	0.032448487191048744
V	0.6469999999999999	0.048495386060282114
V3	0.7106944444444447	0.03462179922363196
V8	0.762083333333333	0.03661270229218003
T3	0.8829166666666669	0.026350483749395595
T8	0.3825833333333335	0.03266424546960737
Total	0.6710357142857144	0.021793952456900186
