flavour	bootstrap mean $\xi_{1\sigma}$	bootstrap std. $\xi_{1\sigma}$
$\Sigma$	0.7699166666666664	0.03901379741692532
gluon	0.6460833333333332	0.039005964643600045
V	0.6290833333333333	0.04793651762719339
V3	0.6882499999999999	0.036932652671224864
V8	0.7059166666666666	0.03719869696045221
T3	0.8809166666666667	0.026726365467663403
T8	0.39141666666666663	0.032133726657343833
Total	0.6730833333333338	0.016516238659446115
