flavour	bootstrap mean sqrt ratio	bootstrap std. sqrt ratio
$\Sigma$	0.8953345639194482	0.049599344153307065
gluon	0.9000577483104475	0.047726343206719396
V	1.0249843553083737	0.0648699603710209
V3	0.9913893363680413	0.053150622207538654
V8	0.9107561831485002	0.06049350299138028
T3	0.6178899206404016	0.034670949355634695
T8	1.3120116256277081	0.052116389227301475
Total	0.9190255173439342	0.029771297020281973
