flavour	bootstrap mean $\xi_{1\sigma}$	bootstrap std. $\xi_{1\sigma}$
$\Sigma$	0.6964166666666668	0.04180402359688464
gluon	0.6874166666666669	0.03334364423861183
V	0.6649166666666666	0.04721839036740758
V3	0.6266666666666666	0.04336537277085895
V8	0.7110833333333333	0.04145035517874901
T3	0.8851666666666671	0.027803377093039924
T8	0.4565833333333331	0.04185449332044423
Total	0.7052261904761905	0.018931861798472505
