experiment	ndata	measured $\xi_{1\sigma}$	estimated $\xi_{1\sigma} \,$ from bias/variance
ATLAS	374	0.6619429590017826	0.6850346409880533
CMS	179	0.7562383612662943	0.7816366619983104
Total	553	0.6924653405666065	0.7348945387680323
