flavour	sqrt bias/variance
$\Sigma$	0.8624586981044368
gluon	0.868960675069984
V	0.991709795870656
V3	0.9652768020732428
V8	0.8786228193870326
T3	0.587318507919898
T8	1.2789726002852704
Total	0.8697035672169204
