flavour	Measured $\xi_{1\sigma}$	expected $\xi_{1\sigma}$
$\Sigma$	0.7333333333333334	0.7537377099806144
gluon	0.6833333333333333	0.7501855013042924
V	0.7	0.686718094609964
V3	0.6333333333333333	0.699784920589477
V8	0.7333333333333334	0.7449399795023485
T3	0.9166666666666667	0.9113670959923549
T8	0.43333333333333335	0.5657134770543469
Total	0.725	0.7497807734397799
