flavour	bias/variance
$\Sigma$	0.743835005936
gluon	0.7550926548180823
V	0.9834883192258181
V3	0.9317593046207464
V8	0.7719780587476182
T3	0.34494302974525537
T8	1.6357709122804658
Total	0.7563842948298364
