experiment	ndata	measured $\xi_{1\sigma}$	estimated $\xi_{1\sigma} \,$ from bias/variance
HERACOMB	63	0.4619047619047619	0.468936339984542
ATLAS	371	0.7703504043126685	0.8145581767649004
CMS	310	0.6949462365591398	0.7478347826648764
LHCb	35	0.7780952380952382	0.769700882224836
Total	779	0.7157466837826274	0.7382722909643179
