experiment	ndata	measured $\xi_{1\sigma}$
HERACOMB	63	0.4619047619047619
ATLAS	371	0.7703504043126685
CMS	310	0.6949462365591398
LHCb	35	0.7780952380952382
Total	779	0.7157466837826274
