experiment	ndata	sqrt(bias/variance)
HERACOMB	63.0	1.596466958852847
ATLAS	371.0	0.755181853024287
CMS	310.0	0.8732815393603314
LHCb	35.0	0.8336190570892106
Total	779.0	0.8910139111347684
