experiment	ndata	estimated $\xi_{1\sigma} \,$ from bias/variance
HERACOMB	63.0	0.468936339984542
ATLAS	371.0	0.8145581767649004
CMS	310.0	0.7478347826648764
LHCb	35.0	0.769700882224836
Total	779.0	0.7382722909643179
